Token,Label
Tokyo,B-City
Japan,B-Country
remote,B-Remote
Jakarta,B-City
Indonesia,B-Country
remote,B-Remote
Delhi,B-City
India,B-Country
remote,B-Remote
Guangzhou,B-City
China,B-Country
remote,B-Remote
Mumbai,B-City
India,B-Country
remote,B-Remote
Manila,B-City
Philippines,B-Country
remote,B-Remote
Shanghai,B-City
China,B-Country
remote,B-Remote
São,B-City
Paulo,I-City
Brazil,B-Country
remote,B-Remote
Seoul,B-City
"Korea,",B-Country
South,I-Country
remote,B-Remote
Mexico,B-City
City,I-City
Mexico,B-Country
remote,B-Remote
Cairo,B-City
Egypt,B-Country
remote,B-Remote
New,B-City
York,I-City
United,B-Country
States,I-Country
remote,B-Remote
Dhaka,B-City
Bangladesh,B-Country
remote,B-Remote
Beijing,B-City
China,B-Country
remote,B-Remote
Kolkāta,B-City
India,B-Country
remote,B-Remote
Bangkok,B-City
Thailand,B-Country
remote,B-Remote
Shenzhen,B-City
China,B-Country
remote,B-Remote
Moscow,B-City
Russia,B-Country
remote,B-Remote
Buenos,B-City
Aires,I-City
Argentina,B-Country
remote,B-Remote
Lagos,B-City
Nigeria,B-Country
remote,B-Remote
Istanbul,B-City
Turkey,B-Country
remote,B-Remote
Karachi,B-City
Pakistan,B-Country
remote,B-Remote
Bangalore,B-City
India,B-Country
remote,B-Remote
Ho,B-City
Chi,I-City
Minh,I-City
City,I-City
Vietnam,B-Country
remote,B-Remote
Ōsaka,B-City
Japan,B-Country
remote,B-Remote
Chengdu,B-City
China,B-Country
remote,B-Remote
Tehran,B-City
Iran,B-Country
remote,B-Remote
Kinshasa,B-City
Congo,B-Country
(Kinshasa),I-Country
remote,B-Remote
Rio,B-City
de,I-City
Janeiro,I-City
Brazil,B-Country
remote,B-Remote
Chennai,B-City
India,B-Country
remote,B-Remote
Xi’an,B-City
China,B-Country
remote,B-Remote
Lahore,B-City
Pakistan,B-Country
remote,B-Remote
Chongqing,B-City
China,B-Country
remote,B-Remote
The,O
job,O
is,O
located,O
home,O
coding,O
challenge,O
The,O
job,O
is,O
remote,O
focused,O
on,O
data,O
analysis,O
and,O
machine,O
learning,O
tasks,O
with,O
a,O
priority,O
on,O
accuracy,O
and,O
efficiency,O
skills,O
are,O
required,O
for,O
this,O
role,O
including,O
experience,O
in,O
Python,O
Java,O
SQL,O
and,O
problem,O
solving,O
this,O
opportunity,O
offers,O
flexibility,O
and,O
collaboration,O
with,O
a,O
dynamic,O
team,O
ready,O
to,O
tackle,O
complex,O
challenges,O
with,O
innovation,O
and,O
creativity,O
applicants,O
should,O
demonstrate,O
strong,O
communication,O
skills,O
and,O
teamwork,O
while,O
being,O
self,O
motivated,O
and,O
adaptable,O
to,O
evolving,O
project,O
requirements,O
applying,O
critical,O
thinking,O
and,O
attention,O
to,O
detail,O
is,O
essential,O
to,O
achieve,O
success,O
in,O
this,O
role,O
training,O
and,O
support,O
will,O
be,O
provided,O
to,O
help,O
develop,O
expertise,O
and,O
ensure,O
growth,O
in,O
this,O
position,O
applicants,O
must,O
submit,O
a,O
resume,O
and,O
cover,O
letter,O
highlighting,O
their,O
qualifications,O
and,O
interest,O
in,O
the,O
position,O
colors,O
such,O
as,O
blue,O
green,O
red,O
yellow,O
and,O
orange,O
are,O
often,O
used,O
in,O
design,O
skills,O
like,O
graphic,O
design,O
web,O
development,O
and,O
video,O
editing,O
are,O
valued,O
applicants,O
with,O
soft,O
skills,O
like,O
adaptability,O
empathy,O
leadership,O
and,O
collaboration,O
are,O
highly,O
encouraged,O
to,O
apply,O
candidates,O
should,O
also,O
have,O
knowledge,O
of,O
coding,O
languages,O
including,O
C++,O
JavaScript,O
HTML,O
and,O
CSS,O
hobbies,O
like,O
painting,O
writing,O
or,O
playing,O
music,O
can,O
show,O
creativity,O
colors,O
like,O
violet,O
and,O
indigo,O
are,O
associated,O
with,O
innovation,O
additional,O
skills,O
such,O
as,O
project,O
management,O
data,O
visualization,O
and,O
cloud,O
computing,O
are,O
desirable,O
applicants,O
should,O
emphasize,O
their,O
willingness,O
to,O
learn,O
and,O
commitment,O
to,O
excellence,O
in,O
the,O
field,O
on,O
site,O
review,O
and,O
short,O
interviews,O
with,O
future,O
team,O
.,O
Los,B-City
Angeles,I-City
United,B-Country
States,I-Country
remote,B-Remote
Baoding,B-City
China,B-Country
remote,B-Remote
London,B-City
United,B-Country
Kingdom,I-Country
remote,B-Remote
Paris,B-City
France,B-Country
remote,B-Remote
Linyi,B-City
China,B-Country
remote,B-Remote
Dongguan,B-City
China,B-Country
remote,B-Remote
Hyderābād,B-City
India,B-Country
remote,B-Remote
Tianjin,B-City
China,B-Country
remote,B-Remote
Lima,B-City
Peru,B-Country
remote,B-Remote
Wuhan,B-City
China,B-Country
remote,B-Remote
Nanyang,B-City
China,B-Country
remote,B-Remote
Hangzhou,B-City
China,B-Country
remote,B-Remote
Foshan,B-City
China,B-Country
remote,B-Remote
remote,B-Remote
telecommute,B-Remote
work-from-home,B-Remote
virtual,B-Remote
online,B-Remote
distributed,B-Remote
off-site,B-Remote
flexible,B-Remote
home-based,B-Remote
hybrid,B-Remote
digital,B-Remote
cloud-based,B-Remote
location-independent,B-Remote
work-anywhere,B-Remote
freelance,B-Remote
contract,B-Remote
autonomous,B-Remote
self-directed,B-Remote
gig,B-Remote
nomadic,B-Remote
asynchronous,B-Remote
part-time,B-Remote
full-time,B-Remote
mobile,B-Remote
remote-first,B-Remote
telework,B-Remote
virtual-office,B-Remote
Nagoya,B-City
Japan,B-Country
remote,B-Remote
Tongshan,B-City
China,B-Country
remote,B-Remote
Luanda,B-City
Angola,B-Country
remote,B-Remote
Zhoukou,B-City
China,B-Country
remote,B-Remote
Ganzhou,B-City
China,B-Country
remote,B-Remote
Kuala,B-City
Lumpur,I-City
Malaysia,B-Country
remote,B-Remote
Heze,B-City
China,B-Country
remote,B-Remote
Quanzhou,B-City
China,B-Country
remote,B-Remote
Johannesburg,B-City
South,B-Country
Africa,I-Country
remote,B-Remote
Chicago,B-City
United,B-Country
States,I-Country
remote,B-Remote
Nanjing,B-City
China,B-Country
remote,B-Remote
Jining,B-City
China,B-Country
remote,B-Remote
Hanoi,B-City
Vietnam,B-Country
remote,B-Remote
Pune,B-City
India,B-Country
remote,B-Remote
Fuyang,B-City
China,B-Country
remote,B-Remote
Ahmedabad,B-City
India,B-Country
remote,B-Remote
Bogotá,B-City
Colombia,B-Country
remote,B-Remote
Shenyang,B-City
China,B-Country
remote,B-Remote
Dar,B-City
es,I-City
Salaam,I-City
Tanzania,B-Country
remote,B-Remote
Khartoum,B-City
Sudan,B-Country
remote,B-Remote
Shangqiu,B-City
China,B-Country
remote,B-Remote
Hong,B-City
Kong,I-City
Hong,B-Country
Kong,I-Country
remote,B-Remote
Cangzhou,B-City
China,B-Country
remote,B-Remote
Riyadh,B-City
Saudi,B-Country
Arabia,I-Country
remote,B-Remote
Santiago,B-City
Chile,B-Country
remote,B-Remote
Xingtai,B-City
China,B-Country
remote,B-Remote
Zhumadian,B-City
China,B-Country
remote,B-Remote
Chattogram,B-City
Bangladesh,B-Country
remote,B-Remote
Surabaya,B-City
Indonesia,B-Country
remote,B-Remote
Zhanjiang,B-City
China,B-Country
remote,B-Remote
Bijie,B-City
China,B-Country
remote,B-Remote
Yancheng,B-City
China,B-Country
remote,B-Remote
Hengyang,B-City
China,B-Country
remote,B-Remote
Zunyi,B-City
China,B-Country
remote,B-Remote
Shaoyang,B-City
China,B-Country
remote,B-Remote
Sūrat,B-City
India,B-Country
remote,B-Remote
Shangrao,B-City
China,B-Country
remote,B-Remote
Xinyang,B-City
China,B-Country
remote,B-Remote
Madrid,B-City
Spain,B-Country
remote,B-Remote
Baghdad,B-City
Iraq,B-Country
remote,B-Remote
Maoming,B-City
China,B-Country
remote,B-Remote
Jieyang,B-City
China,B-Country
remote,B-Remote
Miami,B-City
United,B-Country
States,I-Country
remote,B-Remote
Singapore,B-City
Singapore,B-Country
remote,B-Remote
Houston,B-City
United,B-Country
States,I-Country
remote,B-Remote
Liaocheng,B-City
China,B-Country
remote,B-Remote
Huanggang,B-City
China,B-Country
remote,B-Remote
Dalian,B-City
China,B-Country
remote,B-Remote
Dallas,B-City
United,B-Country
States,I-Country
remote,B-Remote
Qingdao,B-City
China,B-Country
remote,B-Remote
Yulin,B-City
China,B-Country
remote,B-Remote
Douala,B-City
Cameroon,B-Country
remote,B-Remote
Qujing,B-City
China,B-Country
remote,B-Remote
Nangandao,B-City
China,B-Country
remote,B-Remote
Philadelphia,B-City
United,B-Country
States,I-Country
remote,B-Remote
Pudong,B-City
China,B-Country
remote,B-Remote
Toronto,B-City
Canada,B-Country
remote,B-Remote
Zhengzhou,B-City
China,B-Country
remote,B-Remote
Dezhou,B-City
China,B-Country
remote,B-Remote
Nanchong,B-City
China,B-Country
remote,B-Remote
Jinan,B-City
China,B-Country
remote,B-Remote
Giza,B-City
Egypt,B-Country
remote,B-Remote
Nairobi,B-City
Kenya,B-Country
remote,B-Remote
