Token,Label
Indianapolis,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Cincinnati,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Cleveland,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Columbus,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Louisville,B-City
United,B-Country
States,I-Country
Kentucky,B-State
remote,B-Country
Dayton,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Akron,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Toledo,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Fort,B-City
Wayne,I-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Lexington,B-City
United,B-Country
States,I-Country
Kentucky,B-State
remote,B-Country
Youngstown,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Canton,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
South,B-City
Bend,I-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Evansville,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Lorain,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Lafayette,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Elkhart,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Bloomington,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Bowling,B-City
Green,I-City
United,B-Country
States,I-Country
Kentucky,B-State
remote,B-Country
Carmel,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Fishers,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Middletown,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Muncie,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Anderson,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Springfield,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Parma,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Terre,B-City
Haute,I-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Newark,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Elizabethtown,B-City
United,B-Country
States,I-Country
Kentucky,B-State
remote,B-Country
Hammond,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Owensboro,B-City
United,B-Country
States,I-Country
Kentucky,B-State
remote,B-Country
Mansfield,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Noblesville,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Michigan,B-City
City,I-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Gary,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Greenwood,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Hamilton,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Kokomo,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Kettering,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Elyria,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Cuyahoga,B-City
Falls,I-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Mishawaka,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Columbus,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Lakewood,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Jeffersonville,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Euclid,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Lawrence,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Dublin,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Westfield,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Mentor,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Beavercreek,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Strongsville,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Cleveland,B-City
Heights,I-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
West,B-City
Lafayette,I-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Fairfield,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Huber,B-City
Heights,I-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Delaware,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Grove,B-City
City,I-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Reynoldsburg,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Covington,B-City
United,B-Country
States,I-Country
Kentucky,B-State
remote,B-Country
Lancaster,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Findlay,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Warren,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Westerville,B-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Portage,B-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
New,B-City
Albany,I-City
United,B-Country
States,I-Country
Indiana,B-State
remote,B-Country
Georgetown,B-City
United,B-Country
States,I-Country
Kentucky,B-State
remote,B-Country
Upper,B-City
Arlington,I-City
United,B-Country
States,I-Country
Ohio,B-State
remote,B-Country
Merrillville,B-City
United,B-Country
